date,open,high,low,close,volume,symbol,ret_1d,cum_ret,vol_ann,phase,year,month
2021-03-24 07:00:00,1.19,1.19,1.16,1.17,190246400,VN30,-0.01680672268907568,31.46067415730336,16.807954664006246,2_COVID_Recovery,2021,3
2021-03-25 07:00:00,1.17,1.18,1.16,1.16,165895200,VN30,-0.008547008547008517,30.337078651685378,17.083114411403276,2_COVID_Recovery,2021,3
2021-03-26 07:00:00,1.16,1.17,1.14,1.17,172710300,VN30,0.008620689655172376,31.46067415730336,17.3796393652024,2_COVID_Recovery,2021,3
2021-03-29 07:00:00,1.17,1.18,1.17,1.18,145667400,VN30,0.008547008547008517,32.584269662921336,16.51151139958282,2_COVID_Recovery,2021,3
2021-03-30 07:00:00,1.18,1.19,1.18,1.19,217511900,VN30,0.008474576271186418,33.70786516853932,16.80808048371677,2_COVID_Recovery,2021,3
2021-03-31 07:00:00,1.19,1.2,1.19,1.2,171904000,VN30,0.008403361344537785,34.8314606741573,16.80808048371677,2_COVID_Recovery,2021,3
2021-04-01 07:00:00,1.2,1.23,1.2,1.23,222239500,VN30,0.025000000000000133,38.20224719101124,16.285699816644282,2_COVID_Recovery,2021,4
2021-04-02 07:00:00,1.23,1.24,1.23,1.24,199249300,VN30,0.008130081300812941,39.32584269662922,16.372099644749145,2_COVID_Recovery,2021,4
2021-04-05 07:00:00,1.24,1.26,1.24,1.25,219162300,VN30,0.008064516129032251,40.44943820224718,16.42888602646134,2_COVID_Recovery,2021,4
2021-04-06 07:00:00,1.25,1.26,1.25,1.26,222982600,VN30,0.008000000000000007,41.57303370786516,15.878605400932358,2_COVID_Recovery,2021,4
2021-04-07 07:00:00,1.26,1.26,1.25,1.26,213314200,VN30,0.0,41.57303370786516,15.854438977190782,2_COVID_Recovery,2021,4
2021-04-08 07:00:00,1.26,1.26,1.25,1.25,161341700,VN30,-0.007936507936507908,40.44943820224718,15.548909984647654,2_COVID_Recovery,2021,4
2021-04-09 07:00:00,1.25,1.26,1.25,1.25,173791500,VN30,0.0,40.44943820224718,15.548909984647654,2_COVID_Recovery,2021,4
2021-04-12 07:00:00,1.25,1.28,1.25,1.28,267960600,VN30,0.02400000000000002,43.82022471910112,17.273628029283817,2_COVID_Recovery,2021,4
2021-04-13 07:00:00,1.28,1.3,1.28,1.28,255773400,VN30,0.0,43.82022471910112,17.273628029283817,2_COVID_Recovery,2021,4
2021-04-14 07:00:00,1.28,1.29,1.26,1.29,207521100,VN30,0.0078125,44.9438202247191,17.27380747605593,2_COVID_Recovery,2021,4
2021-04-15 07:00:00,1.29,1.3,1.28,1.28,236678100,VN30,-0.007751937984496138,43.82022471910112,17.07604096760725,2_COVID_Recovery,2021,4
2021-04-16 07:00:00,1.28,1.29,1.26,1.28,247667200,VN30,0.0,43.82022471910112,16.606809939619414,2_COVID_Recovery,2021,4
2021-04-19 07:00:00,1.28,1.31,1.27,1.31,210596900,VN30,0.0234375,47.19101123595506,18.01621195463777,2_COVID_Recovery,2021,4
2021-04-20 07:00:00,1.31,1.33,1.3,1.31,244920500,VN30,0.0,47.19101123595506,17.466061907994206,2_COVID_Recovery,2021,4
2021-04-22 07:00:00,1.31,1.32,1.27,1.27,232535000,VN30,-0.03053435114503822,42.69662921348314,20.192841442346086,2_COVID_Recovery,2021,4
2021-04-23 07:00:00,1.27,1.3,1.26,1.3,245629900,VN30,0.023622047244094446,46.06741573033708,20.724077535473686,2_COVID_Recovery,2021,4
2021-04-26 07:00:00,1.3,1.31,1.27,1.28,216946500,VN30,-0.015384615384615441,43.82022471910112,22.002248083406954,2_COVID_Recovery,2021,4
2021-04-27 07:00:00,1.28,1.28,1.26,1.28,171780800,VN30,0.0,43.82022471910112,22.00776177955401,2_COVID_Recovery,2021,4
2021-04-28 07:00:00,1.28,1.3,1.28,1.29,206895500,VN30,0.0078125,44.9438202247191,21.99182278668445,2_COVID_Recovery,2021,4
2021-04-29 07:00:00,1.29,1.31,1.29,1.31,242336900,VN30,0.015503875968992276,47.19101123595506,22.316690513909005,2_COVID_Recovery,2021,4
2021-05-04 07:00:00,1.31,1.33,1.29,1.33,274202700,VN30,0.01526717557251911,49.43820224719102,21.377917257449454,2_COVID_Recovery,2021,5
2021-05-05 07:00:00,1.33,1.36,1.33,1.35,274663200,VN30,0.015037593984962516,51.685393258426984,21.693108130946936,2_COVID_Recovery,2021,5
2021-05-06 07:00:00,1.35,1.35,1.34,1.34,226859700,VN30,-0.007407407407407418,50.561797752809,22.034014878114963,2_COVID_Recovery,2021,5
2021-05-07 07:00:00,1.34,1.35,1.33,1.34,291435700,VN30,0.0,50.561797752809,22.00384514378584,2_COVID_Recovery,2021,5
2021-05-10 07:00:00,1.34,1.37,1.34,1.37,302727000,VN30,0.02238805970149249,53.93258426966294,22.98857413592876,2_COVID_Recovery,2021,5
2021-05-11 07:00:00,1.37,1.38,1.36,1.36,262049600,VN30,-0.007299270072992692,52.80898876404496,22.944681905459937,2_COVID_Recovery,2021,5
2021-05-12 07:00:00,1.36,1.38,1.35,1.38,264230000,VN30,0.014705882352941124,55.05617977528088,23.16970715717839,2_COVID_Recovery,2021,5
2021-05-13 07:00:00,1.38,1.39,1.37,1.37,271897300,VN30,-0.007246376811594013,53.93258426966294,22.424834544701927,2_COVID_Recovery,2021,5
2021-05-14 07:00:00,1.37,1.39,1.37,1.38,251133900,VN30,0.007299270072992581,55.05617977528088,22.423495950145114,2_COVID_Recovery,2021,5
2021-05-17 07:00:00,1.38,1.39,1.37,1.37,254610700,VN30,-0.007246376811594013,53.93258426966294,22.707049895966914,2_COVID_Recovery,2021,5
2021-05-18 07:00:00,1.37,1.38,1.37,1.38,252829000,VN30,0.007299270072992581,55.05617977528088,22.378263458487382,2_COVID_Recovery,2021,5
2021-05-19 07:00:00,1.38,1.4,1.38,1.4,279667100,VN30,0.01449275362318847,57.30337078651684,22.636294202514954,2_COVID_Recovery,2021,5
2021-05-20 07:00:00,1.4,1.42,1.4,1.42,270201500,VN30,0.014285714285714235,59.5505617977528,21.844766264842008,2_COVID_Recovery,2021,5
2021-05-21 07:00:00,1.42,1.43,1.41,1.43,267790400,VN30,0.007042253521126751,60.67415730337078,21.811188013335265,2_COVID_Recovery,2021,5
2021-05-24 07:00:00,1.43,1.43,1.42,1.43,256209400,VN30,0.0,60.67415730337078,17.595016962750314,2_COVID_Recovery,2021,5
2021-05-25 07:00:00,1.43,1.45,1.43,1.44,209778800,VN30,0.006993006993007089,61.79775280898876,16.331952342895914,2_COVID_Recovery,2021,5
2021-05-26 07:00:00,1.44,1.46,1.44,1.46,233969200,VN30,0.01388888888888884,64.04494382022472,14.664272482066472,2_COVID_Recovery,2021,5
2021-05-27 07:00:00,1.46,1.46,1.43,1.44,264785900,VN30,-0.013698630136986356,61.79775280898876,16.211606933535556,2_COVID_Recovery,2021,5
2021-05-28 07:00:00,1.44,1.46,1.43,1.46,300175000,VN30,0.01388888888888884,64.04494382022472,16.44569748750286,2_COVID_Recovery,2021,5
2021-05-31 07:00:00,1.46,1.48,1.45,1.47,293022200,VN30,0.006849315068493178,65.1685393258427,16.083420720334317,2_COVID_Recovery,2021,5
2021-06-01 07:00:00,1.47,1.5,1.47,1.48,255910200,VN30,0.006802721088435382,66.29213483146069,15.700568239897644,2_COVID_Recovery,2021,6
2021-06-02 07:00:00,1.48,1.49,1.47,1.48,277182000,VN30,0.0,66.29213483146069,15.380884493463165,2_COVID_Recovery,2021,6
2021-06-03 07:00:00,1.48,1.51,1.48,1.5,318348000,VN30,0.013513513513513598,68.53932584269661,14.993204975713152,2_COVID_Recovery,2021,6
